IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.74.54.145,8880,8880,false,NRT,Asia Pacific,Tokyo,83,11.64
47.245.41.169,2082,2082,false,LAX,North America,Los Angeles,179,11.64
8.219.222.8,2086,2086,false,SIN,Asia Pacific,Singapore,57,11.63
8.219.100.168,2086,2086,false,SIN,Asia Pacific,Singapore,18,11.63
47.74.16.255,2095,2095,false,NRT,Asia Pacific,Tokyo,83,11.62
8.219.122.96,2083,2083,true,SIN,Asia Pacific,Singapore,68,11.62
47.245.54.197,2053,2053,true,LAX,North America,Los Angeles,226,11.62
8.222.198.105,443,443,true,SIN,Asia Pacific,Singapore,71,11.62
47.74.26.196,2083,2083,true,HKG,Asia Pacific,Hong Kong,326,11.61
8.219.98.13,443,443,true,SIN,Asia Pacific,Singapore,81,11.61
47.236.117.48,2052,2052,false,SIN,Asia Pacific,Singapore,34,11.61
47.236.176.144,2082,2082,false,SIN,Asia Pacific,Singapore,20,11.60
8.219.249.148,2082,2082,false,SIN,Asia Pacific,Singapore,11,11.60
8.219.113.27,2095,2095,false,SIN,Asia Pacific,Singapore,6,11.60
8.219.84.214,8443,8443,true,SIN,Asia Pacific,Singapore,122,11.60
8.219.195.47,443,443,true,SIN,Asia Pacific,Singapore,138,11.60
8.219.240.141,2087,2087,true,SIN,Asia Pacific,Singapore,192,11.59
8.219.245.187,8880,8880,false,SIN,Asia Pacific,Singapore,12,11.59
47.91.19.249,2052,2052,false,LAX,North America,Los Angeles,414,11.59
8.219.241.189,2052,2052,false,SIN,Asia Pacific,Singapore,11,11.58
8.219.197.111,2083,2083,true,SIN,Asia Pacific,Singapore,126,11.58
8.219.170.223,2086,2086,false,SIN,Asia Pacific,Singapore,5,11.58
47.91.29.108,2087,2087,true,LAX,North America,Los Angeles,170,11.58
47.236.117.48,2086,2086,false,SIN,Asia Pacific,Singapore,21,11.58
47.245.56.121,8443,8443,true,LAX,North America,Los Angeles,225,11.57
47.236.94.109,2053,2053,true,SIN,Asia Pacific,Singapore,71,11.57
8.222.211.124,2087,2087,true,SIN,Asia Pacific,Singapore,51,11.57
8.219.70.117,80,0,false,SIN,Asia Pacific,Singapore,30,11.57
8.219.228.193,2087,2087,true,SIN,Asia Pacific,Singapore,112,11.57
47.245.59.243,8880,8880,false,NRT,Asia Pacific,Tokyo,77,11.56
47.236.166.84,2052,2052,false,SIN,Asia Pacific,Singapore,23,11.56
47.74.54.33,8080,8080,false,LAX,North America,Los Angeles,171,11.56
47.236.83.196,2096,2096,true,SIN,Asia Pacific,Singapore,123,11.56
8.209.240.227,80,80,false,NRT,Asia Pacific,Tokyo,85,11.56
8.219.237.250,2095,2095,false,SIN,Asia Pacific,Singapore,12,11.56
8.222.140.87,80,80,false,SIN,Asia Pacific,Singapore,42,11.56
47.245.33.163,8080,8080,false,NRT,Asia Pacific,Tokyo,80,11.55
8.222.219.252,2087,2087,true,SIN,Asia Pacific,Singapore,36,11.55
8.219.106.156,8443,8443,true,SIN,Asia Pacific,Singapore,99,11.55
8.219.167.65,2083,2083,true,SIN,Asia Pacific,Singapore,63,11.55
8.219.179.34,8443,8443,true,SIN,Asia Pacific,Singapore,75,11.55
47.91.3.179,2095,2095,false,LAX,North America,Los Angeles,190,11.55
8.219.242.208,2087,2087,true,SIN,Asia Pacific,Singapore,109,11.55
8.219.153.44,2096,2096,true,SIN,Asia Pacific,Singapore,135,11.54
