央视,#genre#
CCTV-1 综合,http://61.173.95.181:4022/udp/239.45.3.145:5140#http://101.83.74.79:8686/udp/239.45.3.145:5140#http://115.171.216.54:4000/udp/225.1.8.1:8008#http://1.202.116.203:87/udp/225.1.8.1:8008#http://114.254.209.157:8888/rtp/239.3.1.129:8008#http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226016/index.m3u8#http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000131/index.m3u8?IAS
CCTV-2 财经,http://61.173.95.181:4022/udp/239.45.1.109:5140#http://101.83.74.79:8686/udp/239.45.1.109:5140#http://115.171.216.54:4000/udp/225.1.8.2:8084#http://1.202.116.203:87/udp/225.1.8.2:8084#http://114.254.209.157:8888/rtp/239.3.1.60:8084#http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225588/index.m3u8#http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/00000001000000060000000000000372/index.m3u8?IAS
CCTV-3 综艺,http://61.173.95.181:4022/udp/239.45.1.68:5140#http://101.83.74.79:8686/udp/239.45.1.68:5140#http://115.171.216.54:4000/udp/225.1.8.88:8000#http://1.202.116.203:87/udp/225.1.8.88:8000#http://114.254.209.157:8888/rtp/239.3.1.172:8001#http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8#http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226021/index.m3u8#http://[2409:8087:2001:20:2800:0:df6e:eb20]/ott.mobaibox.com/PLTV/4/224/3221228499/index.m3u8
CCTV-4 中文国际,http://61.173.95.181:4022/udp/239.45.0.2:5140#http://101.83.74.79:8686/udp/239.45.0.2:5140#http://115.171.216.54:4000/udp/225.1.8.4:8092#http://1.202.116.203:87/udp/225.1.8.4:8092#http://114.254.209.157:8888/rtp/239.3.1.105:8092#http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000485/index.m3u8?IAS
CCTV-5,http://61.173.95.181:4022/udp/239.45.1.69:5140#http://101.83.74.79:8686/udp/239.45.1.69:5140#http://115.171.216.54:4000/udp/225.1.8.89:8000#http://1.202.116.203:87/udp/225.1.8.89:8000#http://114.254.209.157:8888/rtp/239.3.1.173:8001#http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226019/index.m3u8#http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225818/index.m3u8
CCTV5+体育赛事,http://115.171.216.54:4000/udp/225.1.8.20:8004#http://1.202.116.203:87/udp/225.1.8.20:8004#http://114.254.209.157:8888/rtp/239.3.1.130:8004#http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225603/index.m3u8#http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225507/index.m3u8
CCTV-6 电影,http://61.173.95.181:4022/udp/239.45.1.70:5140#http://101.83.74.79:8686/udp/239.45.1.70:5140#http://115.171.216.54:4000/udp/225.1.8.84:8000#http://1.202.116.203:87/udp/225.1.8.84:8000#http://114.254.209.157:8888/rtp/239.3.1.174:8001#http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226010/index.m3u8#http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8#http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV-7 国防军事,http://61.173.95.181:4022/udp/239.45.3.56:5140#http://101.83.74.79:8686/udp/239.45.3.56:5140#http://115.171.216.54:4000/udp/225.1.8.7:8104#http://1.202.116.203:87/udp/225.1.8.7:8104#http://114.254.209.157:8888/rtp/239.3.1.61:8104#http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225733/index.m3u8
CCTV-8 电视剧,http://61.173.95.181:4022/udp/239.45.1.71:5140#http://101.83.74.79:8686/udp/239.45.1.71:5140#http://115.171.216.54:4000/udp/225.1.8.85:8000#http://1.202.116.203:87/udp/225.1.8.85:8000#http://114.254.209.157:8888/rtp/239.3.1.175:8001#http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226008/index.m3u8#http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225795/index.m3u8
CCTV-9 纪录,http://61.173.95.181:4022/udp/239.45.3.4:5140#http://101.83.74.79:8686/udp/239.45.3.4:5140#http://115.171.216.54:4000/udp/225.1.8.9:8112#http://1.202.116.203:87/udp/225.1.8.9:8112#http://114.254.209.157:8888/rtp/239.3.1.62:8112#http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000373/index.m3u8?IAS#http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225734/index.m3u8
